Affiliation,Count
ANUG,1037
CMRK,593
JNTH,578
VMEG,575
VJEC,562
MLID,465
BVRW,413
COLLEGE,412
SNIS,400
MVSR,387
VJIT,315
CBIT,271
GRRR,263
GCTC,256
STLW,241
IARE,212
MLRD,207
RITW,191
CMRG,165
VGWL,153
GNTW,148
MGIT,145
MECS,145
KPRT,142
GITAM,131
BVRI,130
PALV,129
MRCW,129
MRCE,125
NRCM,115
VASV,114
VBIT,113
NREC,106
MLRS,105
VBIOT,105
NNRG,103
SPEC,99
ACEG,98
OUCE,97
SDEW,90
JBIT,84
ICFAI,83
VGNT,80
SRYS,79
GCTC,78
JAYA,78
KMIT,75
TKEM,73
RGMCOEAT,71
GGU,70
JNTR,70
JPNE,67
KGRH,65
METH,58
MRU,57
SPHN,54
SMSK,51
KITS,51
BIET,49
HITM,49
VIOIT,49
MCOE,48
CIOEAT,47
TPCE,47
AVV,46
CVRH,45
SBIT,42
ICFAI UNIVERSITY,38
ANRK,38
MRTN,38
JCOEK,37
CDTBU,37
NAWB,34
CMRM,34
KL UNIVERSITY,33
KITW,32
MRU,31
BOSE,30
VJYA,29
RGUKT BASAR,29
JOGI,28
IFFHE,28
VRSEC,27
LPU,26
VAGE,26
WOXSEN UNIVERSITY,26
SIOEAT,25
KIOEAT,25
JCOEJ,25
RGUOKT,24
NREC,24
AARM,24
VGSE,23
PARUL UNIVERSITY,23
SRHP,23
ITFHE(,22
ANIOTAS,22
RGUOKTB,22
VIOT,21
AUCOE(,21
MREM,21
TCTK,21
GNIT,21
GITAM,20
ADTBU,20
SVIT,20
SUA,20
KAORAE,20
VVIOT,19
MREW,19
GLWC,18
SVSE,18
RUWC,18
JCOEA,18
KIOEATFW,18
BREW,18
GURU,18
SVECFW,17
AVIH,17
INDU,17
SMEC,16
DRKI,16
NGIT,16
SIEI,16
KLU,15
TCEK,15
GPREC(K,15
AEC,14
RUWC,14
MRIT,14
ACOEAT,14
SSOE,14
BIOHEAR,13
MIOTAS,13
MBU,13
MREC,13
VIOT,13
BITN,13
WITS,12
MVGRCOE,12
REC,12
KMEC,12
SISG,12
RCOE,12
HOLY,12
SEC,12
PEC,12
PRESIDENCY UNIVERSITY,12
SIOSAT,12
SVCOE,11
SIOSAT,11
RGUOKTB,11
MTEC,11
RGMCET,11
STUDENT,11
KIOEATFW,11
RGUOKAT,10
VIOIT,10
VBEC,10
NCOEAT,10
INDI,10
JNKR,10
NEC,10
AIOTASR,10
CMRN,9
MVGR,9
KLU,9
LBRCOE,9
IUH,9
AURP,9
"CHRIST UNIVERSITY,BANGALORE",9
SAIS,9
JNTS,9
GIOT,9
RUWC,9
SRM UNIVERSITY,9
VIT,8
MGUNSF,8
MGU,8
NIOTAP,8
MJCT,8
ADC,8
NDC,8
GIOEAT,8
UONT,8
KCEA,8
SATHYABAMA UNIVERSITY,8
JNTM,8
SDES,8
KNRR,8
OU,7
MRET,7
JCOEV,7
TEC,7
ACOEAT,7
ANU,7
ANDHRA UNIVERSITY,7
MAHINDRA UNIVERSITY,7
SACOEAT,7
RMIOEATFW,7
SVES,7
LIOEAT,7
IITT,7
ASRA,7
VREC,7
NIOT,7
JAIN UNIVERSITY,6
ADC,6
QCOEAT,6
IIT MADRAS,6
GPCOEAT,6
VTU,6
VCOE,6
ALIOEAT,6
RGUOKT,6
TAU,6
VMTW,6
VIT AP,6
SCOEAT,6
URCOEAT,6
SCOEATC,6
SNTI,6
VIOIT,6
ICFAI TECH,6
VJIOT,6
WESL,6
GVPCOE,6
KALASALINGAM UNIVERSITY,6
SIOTAE,6
CHANDIGARH UNIVERSITY,6
SMCD,6
KAKATIYA UNIVERSITY,6
DIOEAT,6
IIOITD,6
