Affiliation,Count
SNIS,157
VJEC,119
ANUG,86
GCTC,49
MRCE,38
MGIT,35
KGRH,34
GRRR,32
STLW,30
BVRI,27
JNTH,27
SPEC,26
NREC,21
NNRG,21
BITN,20
VAGE,14
VJIT,13
MECS,11
VASV,11
VIT,10
VMEG,10
GLWC,8
IITT,8
GNTW,8
MRTN,8
BVRW,6
VGNT,6
MLRD,5
VMTW,5
MLRS,5
OUCE,5
VGWL,5
GCTC,5
SMSK,4
JBIT,4
SNTI,4
College ,3
BREW,3
SRHP,3
KMIT,3
VBIT,3
INDI,3
ACEG,3
ICFAI UNIVERSITY,3
IARE,3
MREW,3
SVIT,2
College,2
GITAM,2
MRU,2
SRYS,2
MCOE,2
JNTHMT,2
GITAM HYDERABAD,2
MLID,2
BIOTAS,2
ICFAI TECH,2
NIAT ,1
MREM,1
TRRM,1
KLH,1
KUWL,1
SDEW,1
IIITH,1
IITT,1
MRIT,1
SWRN,1
MRU,1
GNIT,1
BRIL,1
IOES,1
MVSR,1
MRCOE,1
MALLAREDDY GROUP,1
VAU,1
KPRT,1
KMEC,1
NMREC,1
VIT,1
Nextwave,1
CMRK,1
NGIT,1
VNRVJIET,1
VIGNAN UNIVERSITY,1
VFFSAT,1
KCEA,1
MRECFW,1
GCOEAT,1
PARUL UNIVERSITY,1
INDU,1
SIOSAT,1
ANRK,1
CVRH,1
JNKR,1
IIOTV,1
JOGI,1
IFHE,1
HITM,1
MRET,1
METH,1
CBIT,1
NGIT,1
GIOE,1
ELEN,1
